pi_system_time_s,status_code,uwb_data.local_node.id,uwb_data.local_node.role,uwb_data.anchor_info.anchor_count,dis_0,dis_1,dis_2,dis_3,imu_data.IMU_temp,imu_data.accX,imu_data.accY,imu_data.accZ,imu_data.gyroX,imu_data.gyroY,imu_data.gyroZ,imu_data.MagX,imu_data.MagY,imu_data.MagZ,imu_data.magX,imu_data.magY,imu_data.magZ,imu_data.roll,imu_data.tilt,imu_data.pan,imu_data.Qw,imu_data.Qx,imu_data.Qy,imu_data.Qz,imu_data.timestamp,imu_data.readtime
1742703764.921020,,0,Tag,4,5.942,3.701,3.605,6.209,,9.704929,-1.143225,0.096414,0.12395100000000000,-0.003845,0.142779,-1287.861504,-481.66864,356.522656,-1287.0,-465.0,381.0,-83.24393600000000,84.88156,139.57416,-0.230018,0.634282,0.304036,0.672561,59727.095,59729.513
1742703764.941440,,0,Tag,4,5.961,3.654,3.602,6.207,,9.712283,-1.1421460000000000,0.10461900000000000,-0.019489,0.0009380000000000000,0.043803000000000000,-1280.351488,-473.97385600000000,352.38323200000000,-1279.5,-457.5,376.5,-83.244464,84.880208,139.575264,-0.23002,0.6342830000000000,0.304031,0.672561,59747.095,59749.478
1742703764.961890,,0,Tag,4,5.968,3.694,3.642,6.205,,9.719425,-1.1420680000000000,0.10589600000000000,0.06783300000000000,-0.003071,0.132029,-1293.865344,-478.739264,358.14140800000000,-1293.0,-462.0,382.5,-83.243968,84.883128,139.57328000000000,-0.230021,0.634281,0.30404,0.672559,59767.095,59769.481
1742703764.982320,,0,Tag,4,5.98,3.67,3.626,6.229,,9.698245,-1.148472,0.10999200000000000,0.068354,0.125246,0.11966000000000000,-1286.383232,-485.07062400000000,365.381888,-1285.5,-468.0,390.0,-83.244152,84.873896,139.58328,-0.23003000000000000,0.634274,0.30404,0.672563,59787.095,59789.513
1742703765.000630,,0,Tag,4,5.925,3.677,3.598,6.202,,9.707534000000000,-1.146869,0.10715,-0.002264,-0.070768,0.058552,-1287.872384,-483.36963200000000,360.950432,-1287.0,-466.5,385.5,-83.24439200000000,84.876656,139.580368,-0.23003000000000000,0.634277,0.304039,0.672561,59807.095,59809.477
1742703765.021050,,0,Tag,4,5.973,3.717,3.607,6.187,,9.703938000000000,-1.139781,0.104435,0.138376,0.016271,0.08025500000000000,-1290.8724480000000,-481.8712,361.010592,-1290.0,-465.0,385.5,-83.244432,84.879144,139.57864,-0.230033,0.634276,0.304044,0.672557,59827.095,59829.481
1742703765.041490,,0,Tag,4,5.913,3.712,3.569,6.175,,9.706855,-1.1443700000000000,0.091676,-0.072269,0.027985,0.086973,-1293.860992,-484.665536,356.372928,-1293.0,-468.0,381.0,-83.243904,84.87001600000000,139.588784,-0.230039,0.634266,0.304049,0.672563,59847.095,59849.516
1742703765.061910,,0,Tag,4,5.959,3.682,3.605,6.191,,9.715895,-1.1471720000000000,0.09884900000000000,0.032934,0.033296,0.11577,-1283.372416,-483.36963200000000,360.96147200000000,-1282.5,-466.5,385.5,-83.24393600000000,84.868016,139.591072,-0.230042,0.6342640000000000,0.30405,0.672563,59867.095,59869.477
1742703765.081300,,0,Tag,4,5.964,3.68,3.586,6.184,,9.714442,-1.143913,0.102309,0.067943,-0.098892,0.040061,-1286.379776,-483.50464,363.950944,-1285.5,-466.5,388.5,-83.244368,84.874648,139.58512,-0.230046,0.6342680000000000,0.304054,0.672557,59887.095,59889.515
1742703765.101710,,0,Tag,4,5.999,3.651,3.633,6.173,,9.713546,-1.152788,0.09687800000000000,0.194214,-0.031556,0.11373800000000000,-1293.868544,-483.30211200000000,359.43728,-1293.0,-466.5,384.0,-83.244368,84.876584,139.58406400000000,-0.23005100000000000,0.634267,0.30405900000000000,0.672554,59907.095,59909.518000000000
1742703765.122150,,0,Tag,4,5.916,3.68,3.555,6.193,,9.696792,-1.1386590000000000,0.103112,0.033084000000000000,0.051711,0.098911,-1287.8647040000000,-484.733024,357.88604800000000,-1287.0,-468.0,382.5,-83.24471200000000,84.880944,139.58121600000000,-0.23006,0.634267,0.304067,0.672547,59927.095,59929.479
1742703765.141510,,0,Tag,4,5.949,3.705,3.598,6.144,,9.705853,-1.142835,0.106015,-0.002533,-0.072835,0.1113,-1292.354048,-481.53363200000000,353.51478400000000,-1291.5,-465.0,378.0,-83.245384,84.88492,139.57736,-0.230063,0.6342710000000000,0.304066,0.672542,59947.095,59949.517
1742703765.160900,,0,Tag,4,5.925,3.684,3.588,6.18,,9.722091000000000,-1.151484,0.10460700000000000,0.09639100000000000,0.06944500000000000,0.089311,-1286.368768,-481.80368,359.523168,-1285.5,-465.0,384.0,-83.245768,84.881632,139.580592,-0.230066,0.63427,0.304062,0.6725440000000000,59967.095,59969.514
1742703765.181320,,0,Tag,4,5.944,3.684,3.609,6.155,,9.712266,-1.137394,0.10323400000000000,0.050726,0.00048700000000000000,0.044053000000000000,-1287.854464,-478.536704,353.6608,-1287.0,-462.0,378.0,-83.245296,84.873904,139.588832,-0.230069,0.634263,0.304065,0.672549,59987.095,59989.482
1742703765.201770,,0,Tag,4,5.949,3.656,3.633,6.2,,9.691646,-1.155721,0.09771000000000000,-0.002629,-0.101197,0.11014200000000000,-1286.354304,-480.035168,353.59696000000000,-1285.5,-463.5,378.0,-83.24564,84.88733600000000,139.575232,-0.230065,0.634273,0.304066,0.6725400000000000,60007.095,60009.513
1742703765.221140,,0,Tag,4,5.968,3.626,3.619,6.187,,9.709702,-1.145125,0.09654,0.025553,-0.073016,0.1114,-1286.3623680000000,-474.17635200000000,356.86387200000000,-1285.5,-457.5,381.0,-83.245384,84.894848,139.567952,-0.230063,0.634276,0.304072,0.672535,60027.095,60029.517
1742703765.241560,,0,Tag,4,5.944,3.691,3.53,6.135,,9.719480000000000,-1.147302,0.095291,0.12070300000000000,0.032731000000000000,0.11608200000000000,-1289.3646080000000,-484.733024,357.88240000000000,-1288.5,-468.0,382.5,-83.246056,84.89145600000000,139.571856,-0.230071,0.6342750000000000,0.30407,0.672534,60047.095,60049.483
1742703765.261980,,0,Tag,4,5.928,3.675,3.586,6.205,,9.718274,-1.1486970000000000,0.102536,0.06784900000000000,-0.044373000000000000,0.098643,-1283.372928,-478.87427200000000,361.163968,-1282.5,-462.0,385.5,-83.24556,84.88664,139.577968,-0.23007700000000000,0.634267,0.30407800000000000,0.672536,60067.095,60069.515
1742703765.282440,,0,Tag,4,5.916,3.687,3.593,6.182,,9.694477,-1.1535580000000000,0.103422,-0.086599,-0.015569,0.113317,-1293.864832,-483.234624,357.93888,-1293.0,-466.5,382.5,-83.245848,84.89629600000000,139.567712,-0.230072,0.634276,0.304076,0.67253,60087.095,60089.516
1742703765.300850,,0,Tag,4,5.968,3.623,3.626,6.2,,9.698021000000000,-1.144798,0.09976,-0.002114,-0.000552,0.07903100000000000,-1290.864896,-483.234624,357.94624,-1290.0,-466.5,382.5,-83.246552,84.90432800000000,139.559392,-0.230072,0.634284,0.304074,0.672524,60107.095,60109.478
1742703765.321300,,0,Tag,4,5.954,3.637,3.576,6.157,,9.718251,-1.14478,0.104306,-0.002554,0.023674,0.185686,-1292.368256,-484.800576,359.373472,-1291.5,-468.0,384.0,-83.24628800000000,84.897616,139.56584000000000,-0.230071,0.6342790000000000,0.304071,0.67253,60127.095,60129.517
